grupo;comparacao;iguais;diferentes;akd_vazio;ct2_vazio;taxa_igualdade
nao_selecionados;ano;251556;0;0;0;100.0
nao_selecionados;cc;191684;53013;0;6859;78.34
nao_selecionados;chave_doc;247;55395;0;195914;0.44
nao_selecionados;chave_token;1516;54126;0;195914;2.72
nao_selecionados;classe_valor;154348;5301;0;91907;96.68
nao_selecionados;cliente_fornecedor;0;0;251556;0;0
nao_selecionados;codpla_origem;0;251556;0;0;0.0
nao_selecionados;conta_ref;158104;93440;12;0;62.85
nao_selecionados;filial;0;0;251556;0;0
nao_selecionados;historico_doc;40411;61804;147081;2260;39.54
nao_selecionados;historico_expandido_doc;8834;34869;207851;2;20.21
nao_selecionados;idref_xnumct;0;0;251556;0;0
nao_selecionados;item_contabil;0;0;251556;0;0
nao_selecionados;mes;197297;54259;0;0;78.43
nao_selecionados;proc_900027_ri;89924;161632;0;0;35.75
nao_selecionados;proc_hist_exato_900013_900025_900026;89924;161632;0;0;35.75
nao_selecionados;tipo_tpsald;0;251556;0;0;0.0
nao_selecionados;trimestre;251556;0;0;0;100.0
nao_selecionados;xdoc_at01cr;2150;53515;374;195517;3.86
nao_selecionados;xdoc_ct2_doc;0;251182;374;0;0.0
nao_selecionados;xdoc_exato;2150;53505;374;195527;3.86
nao_selecionados;xdoc_token;2150;249032;374;0;0.86
nao_selecionados;xnumap_at04db;7043;20930;223071;512;25.18
nao_selecionados;xnumap_xdocum;7043;20930;223071;512;25.18
selecionados;ano;9856;0;0;0;100.0
selecionados;cc;9016;241;0;599;97.4
selecionados;chave_doc;213;4179;0;5464;4.85
selecionados;chave_token;786;3606;0;5464;17.9
selecionados;classe_valor;5478;13;0;4365;99.76
selecionados;cliente_fornecedor;0;0;9856;0;0
selecionados;codpla_origem;0;9856;0;0;0.0
selecionados;conta_ref;7215;2635;6;0;73.25
selecionados;filial;0;0;9856;0;0
selecionados;historico_doc;4780;1863;3212;1;71.96
selecionados;historico_expandido_doc;2483;472;6900;1;84.03
selecionados;idref_xnumct;0;0;9856;0;0
selecionados;item_contabil;0;0;9856;0;0
selecionados;mes;9618;238;0;0;97.59
selecionados;proc_900027_ri;4048;5808;0;0;41.07
selecionados;proc_hist_exato_900013_900025_900026;4048;5808;0;0;41.07
selecionados;tipo_tpsald;0;9855;0;1;0.0
selecionados;trimestre;9856;0;0;0;100.0
selecionados;xdoc_at01cr;1713;2921;144;5078;36.97
selecionados;xdoc_ct2_doc;0;9712;144;0;0.0
selecionados;xdoc_exato;1713;2917;144;5082;37.0
selecionados;xdoc_token;1713;7999;144;0;17.64
selecionados;xnumap_at04db;2992;10;6678;176;99.67
selecionados;xnumap_xdocum;2992;10;6678;176;99.67
