comparacao;akd_campo;ct2_campos;tipo_normalizacao;akd_distintos;ct2_distintos;distintos_em_comum;taxa_overlap_akd;taxa_overlap_ct2
xdoc_exato;AKD_XDOC;CT2_XDOC;text;13334;6703;1682;12.61;25.09
xdoc_at01cr;AKD_XDOC;CT2_AT01CR;text;13334;6705;1682;12.61;25.09
xdoc_token;AKD_XDOC;CT2_XDOC|CT2_DOC;token;13334;6905;1682;12.61;24.36
xnumap_xdocum;AKD_XNUMAP;CT2_XDOCUM;text;1697;9399;1667;98.23;17.74
xnumap_at04db;AKD_XNUMAP;CT2_AT04DB;text;1697;1678;1667;98.23;99.34
historico_doc;AKD_HIST;CT2_HIST;doc;2732;2975;1576;57.69;52.97
historico_expandido_doc;AKD_XHISTO;CT2_HIST;doc;2349;2975;1458;62.07;49.01
chave_token;AKD_CHAVE;CT2_KEY;token;10273;4497;755;7.35;16.79
proc_900027_ri;AKD_HIST;CT2_HIST;text;5947;10192;725;12.19;7.11
proc_hist_exato_900013_900025_900026;AKD_HIST;CT2_HIST;text;5947;10192;725;12.19;7.11
chave_doc;AKD_CHAVE;CT2_KEY;doc;12154;4440;442;3.64;9.95
classe_valor;AKD_CLVLR;CT2_CLVLDB|CT2_CLVLCR;text;433;309;307;70.9;99.35
conta_ref;AKD_ENT05;CT2_DEBITO|CT2_CREDIT;text;151;264;120;79.47;45.45
cc;AKD_CC;CT2_CCD|CT2_CCC;text;80;82;80;100.0;97.56
mes;AKD_DATA;CT2_DATA;month;3;3;3;100.0;100.0
ano;AKD_DATA;CT2_DATA;year;1;1;1;100.0;100.0
trimestre;AKD_DATA;CT2_DATA;quarter;1;1;1;100.0;100.0
xdoc_ct2_doc;AKD_XDOC;CT2_DOC;text;13334;202;0;0.0;0.0
idref_xnumct;AKD_IDREF;CT2_XNUMCT;text;0;464;0;0;0.0
item_contabil;AKD_ITCTB;CT2_ITEMD|CT2_ITEMC;text;0;470;0;0;0.0
filial;AKD_FILIAL;CT2_FILIAL|CT2_FILORI;text;0;15;0;0;0.0
codpla_origem;AKD_CODPLA;CT2_ORIGEM;text;5;53;0;0.0;0.0
tipo_tpsald;AKD_TPSALD;CT2_TPSALD;text;4;2;0;0.0;0.0
cliente_fornecedor;AKD_ENT06;CT2_CODCLI|CT2_CODFOR;text;0;0;0;0;0
